source_path	source_size_bytes	source_size_gib	purge_method	purge_status	archive_status	verification	archive_destination_google_drive	provenance_type	provenance_reference_id	provenance_reference_url	run_source_note
/Users/renatosocodato/RNAseq-redox-cytoskel	11525615616	10.734	mv (source removed by move)	archived	archived_to_google_drive	destination_present	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/phase3_pilot_RNAseq-redox-cytoskel	local_project_archive	local git/analysis project root	N/A	phase3_pilot
/Users/renatosocodato/PFn1 5xFAD	182615023616	170.073	rm -rf	deleted	not_archived	prepurge_snapshot_created		local_project	PFn1 5xFAD project root	N/A	phase3_capacity_priority_no_separate_archive_volume
/Users/renatosocodato/cdc42_2p_fvsm_velocities	68286267392	63.597	rm -rf	deleted	not_archived	prepurge_snapshot_created		local_project	cdc42_2p_fvsm_velocities project root	N/A	phase3_capacity_priority_no_separate_archive_volume
/Users/renatosocodato/thermocausality_mtce	41084649472	38.263	rm -rf	deleted	not_archived	prepurge_snapshot_created		local_project	thermocausality_mtce project root	N/A	phase3_capacity_priority_no_separate_archive_volume
/Users/renatosocodato/Desktop/CDC42_microglia_paper	37717671936	35.127	rm -rf	deleted	not_archived	prepurge_snapshot_created		local_project	CDC42 microglia paper folder	N/A	phase3_capacity_priority_no_separate_archive_volume
/Users/renatosocodato/cyto_kb	30992039936	28.864	rm -rf	deleted	not_archived	prepurge_snapshot_created		local_project	cyto_kb project root	N/A	phase3_capacity_priority_no_separate_archive_volume
/Users/renatosocodato/redox-secretome-axis	26178048000	24.380	rm -rf	deleted	not_archived	prepurge_snapshot_created		local_project	redox-secretome-axis project root	N/A	phase3_capacity_priority_no_separate_archive_volume
/Users/renatosocodato/Downloads/ActinMicrotub	65877196800	61.353	rm -rf	deleted	not_archived	prepurge_snapshot_created		local_project	ActinMicrotub dataset folder	N/A	phase3_capacity_priority_no_separate_archive_volume
/Users/renatosocodato/codex_session_logs	7255797760	6.757	rm -rf	deleted	not_archived	prepurge_snapshot_created		system_cache_or_tooling	tool cache/system state	N/A	phase3_capacity_priority_no_separate_archive_volume
/Users/renatosocodato/Library/Application Support/Claude	19693887488	18.341	rm -rf	deleted	not_archived	prepurge_snapshot_created		system_cache_or_tooling	tool cache/system state	N/A	phase3_wave2_capacity_closeout
/Users/renatosocodato/Downloads	12155883520	11.321	rm -rf	delete_blocked_permission	not_archived	prepurge_snapshot_created		system_cache_or_tooling	tool cache/system state	N/A	still_exists_after_rm; top-level directory not removable due permissions despite zero-byte scan
/Users/renatosocodato/.npm	2169159680	2.020	rm -rf	deleted	not_archived	prepurge_snapshot_created		system_cache_or_tooling	tool cache/system state	N/A	phase3_wave2_capacity_closeout
/Users/renatosocodato/.colima	1741099008	1.622	rm -rf	deleted	not_archived	prepurge_snapshot_created		system_cache_or_tooling	tool cache/system state	N/A	phase3_wave2_capacity_closeout
/Users/renatosocodato/Library/R	4438142976	4.133	rm -rf	deleted	not_archived	prepurge_snapshot_created		system_cache_or_tooling	tool cache/system state	N/A	phase3_wave2_capacity_closeout
/Users/renatosocodato/.cmdstan	490991616	0.457	rm -rf	deleted	not_archived	prepurge_snapshot_created		system_cache_or_tooling	tool cache/system state	N/A	phase3_wave3_threshold_close
