phase	source_file	dest_file	error_type	error
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/ADD_Full_Hippocampus_Images.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/ADD_Full_Hippocampus_Images.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/ADD_Full_Hippocampus_Images.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/ADD_Full_Hippocampus_Images.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set1%29_Images.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set1%29_Images.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set1%29_Images.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set1%29_Images.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/ADD_Partial_HIRes_Hippocampus_object_segmentation.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/ADD_Partial_HIRes_Hippocampus_object_segmentation.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/ADD_Partial_HIRes_Hippocampus_object_segmentation.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/ADD_Partial_HIRes_Hippocampus_object_segmentation.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/TMA_Images.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/TMA_Images.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/TMA_Images.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/TMA_Images.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set3%29_cell_segmentation.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set3%29_cell_segmentation.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set3%29_cell_segmentation.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set3%29_cell_segmentation.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set3%29_Images.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set3%29_Images.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set3%29_Images.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set3%29_Images.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/ADD_Full_Hippocampus_object_segmentation.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/ADD_Full_Hippocampus_object_segmentation.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/ADD_Full_Hippocampus_object_segmentation.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/ADD_Full_Hippocampus_object_segmentation.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CIND_Full_Hippocampus_object_segmentation.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CIND_Full_Hippocampus_object_segmentation.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CIND_Full_Hippocampus_object_segmentation.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CIND_Full_Hippocampus_object_segmentation.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set2%29_cell_segmentation.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set2%29_cell_segmentation.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set2%29_cell_segmentation.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CN_Full_Hippocampus%28Set2%29_cell_segmentation.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CIND_Full_Hippocampus_cell_segmentation.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CIND_Full_Hippocampus_cell_segmentation.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/hippocampus_mibi/CIND_Full_Hippocampus_cell_segmentation.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/hippocampus_mibi/CIND_Full_Hippocampus_cell_segmentation.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/Case_Study_Analysis_Data/current.RData	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/Case_Study_Analysis_Data/current.RData	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/Case_Study_Analysis_Data/current.RData' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/Case_Study_Analysis_Data/current.RData'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/Case_Study_Analysis_Data/pixie.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/Case_Study_Analysis_Data/pixie.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/Case_Study_Analysis_Data/pixie.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/Case_Study_Analysis_Data/pixie.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/Stitched.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/Stitched.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/Stitched.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/Stitched.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/Bck_rm-20250107T205544Z-001.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/Bck_rm-20250107T205544Z-001.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/Bck_rm-20250107T205544Z-001.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/Bck_rm-20250107T205544Z-001.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/old_noise_removal_data-20250107T205557Z-001.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/old_noise_removal_data-20250107T205557Z-001.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/old_noise_removal_data-20250107T205557Z-001.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/CA1_Gray/old_noise_removal_data-20250107T205557Z-001.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/White/Stitched.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/White/Stitched.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/White/Stitched.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/AD_HIP_Case_Study_Imaging_Data/White/Stitched.zip'
phase23_collective_intelligence	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/Healthy_Case_Study_Imaging_Data/Cerelbellum_White.zip	/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/Healthy_Case_Study_Imaging_Data/Cerelbellum_White.zip	TimeoutError	[Errno None] None: '/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/mibi/raw/atlas_multi_region/Healthy_Case_Study_Imaging_Data/Cerelbellum_White.zip' -> '/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence__localcopy_tmp_py/mibi/raw/atlas_multi_region/Healthy_Case_Study_Imaging_Data/Cerelbellum_White.zip'
