run_id	source_path	source_type	source_size_gib	purge_status	archive_status	origin_repository_class	public_repository_class	origin_platform	origin_reference_url	origin_reference_class_inferred	accession_or_equivalent	origin_evidence_type	google_drive_destination	provenance_note_registry	provenance_note_ledger	provenance_note_depth	purge_manifest_status	archive_manifest_status	archive_source_path_match	archive_dest_match	audit_status	audit_gap
reclaim_run_2026-02-22	/Users/renatosocodato/Library/R	system_cache_or_tooling	4.133	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD	local_project	170.073	deleted	not_archived	GEO	public	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	NCBI GEO	GSE209583, GSE233208	GEO accession page(s)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.95902	local_project	21.158	deleted	not_archived	GEO	public	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	NCBI GEO	GSE209583, GSE233208	GEO accession page(s)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.99857	local_project	37.273	deleted	not_archived	GEO	public	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	NCBI GEO	GSE209583, GSE233208	GEO accession page(s)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.8906	local_project	37.273	deleted	not_archived	GEO	public	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	NCBI GEO	GSE209583, GSE233208	GEO accession page(s)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9163	local_project	26.405	deleted	not_archived	GEO	public	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	NCBI GEO	GSE209583, GSE233208	GEO accession page(s)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9229	local_project	43.535	deleted	not_archived	GEO	public	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	NCBI GEO	GSE209583, GSE233208	GEO accession page(s)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9292	local_project	36.650	deleted	not_archived	GEO	public	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	NCBI GEO	GSE209583, GSE233208	GEO accession page(s)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/RNAseq-redox-cytoskel	local_project_archive	10.734	archived	archived_to_google_drive	local-only	local-only	local project workspace	N/A	missing	local project archive (RNAseq-redox-cytoskel)	none	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/phase3_pilot_RNAseq-redox-cytoskel	No single public accession documented for full project bundle; retained for reproducible handoff per PHASE3 pilot archive policy.	No single public accession documented for full project bundle; retained for reproducible handoff per PHASE3 pilot archive policy.	No single public accession documented for full project bundle; retained for reproducible handoff per PHASE3 pilot archive policy.	archived	archived	yes	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/phase3_pilot_RNAseq-redox-cytoskel	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/amanda sierra_colab/data/atlas/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	local_processed_asset	6.833	deleted	archived_to_google_drive	Amazon S3 (public mirror)	public	Allen Brain Cell Atlas / S3	https://allen-brain-cell-atlas.s3.amazonaws.com/expression_matrices/Developing-Mouse-Vis-Cortex-10X/20260131/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	S3 public mirror	developing_mouse_vis_cortex_10x_raw (Developing Mouse Vis Cortex)	S3 mirror URL	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/repo_phase1_h5ad/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	Registered in run manifests as atlas input; same matrix reused across runs run0020/0021/0022/0024/0026.	Registered in run manifests as atlas input; same matrix reused across runs run0020/0021/0022/0024/0026.	Registered in run manifests as atlas input; same matrix reused across runs run0020/0021/0022/0024/0026.	deleted	archived	yes	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/repo_phase1_h5ad/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/amanda sierra_colab/data/devvis/DevVIS_multiome_snRNA_processed.h5ad	local_processed_asset	5.554	deleted	archived_to_google_drive	Amazon S3 (public mirror)	public	Allen Developmental Mouse Atlas / S3	https://allen-developmental-mouse-atlas.s3.amazonaws.com/Multiome/DevVIS_multiome_snRNA_processed.h5ad	S3 public mirror	devvis_multiome_snrna (DevVIS multiome)	S3 mirror URL	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/repo_phase1_h5ad/DevVIS_multiome_snRNA_processed.h5ad	Primary source path in metadata/run0024 and run0026 atlas manifests; also referenced in devvis_download_manifest_run0008 and devvis_resource_manifest_run0007.	Primary source path in metadata/run0024 and run0026 atlas manifests; also referenced in devvis_download_manifest_run0008 and devvis_resource_manifest_run0007.	Primary source path in metadata/run0024 and run0026 atlas manifests; also referenced in devvis_download_manifest_run0008 and devvis_resource_manifest_run0007.	deleted	archived	yes	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/repo_phase1_h5ad/DevVIS_multiome_snRNA_processed.h5ad	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/cdc42_2p_fvsm_velocities	local_project	63.597	deleted	not_archived	local-only	local-only	local project workspace	N/A	missing	local project bundle (cdc42_2p_fvsm_velocities)	none	N/A	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/codex_session_logs	system_cache_or_tooling	6.757	deleted	not_archived	local-only	local-only	local CLI logs	N/A	missing	tooling session logs	none	N/A	Non-biological cache; retained only for continuity until post-run closeout.	Non-biological cache; retained only for continuity until post-run closeout.	Non-biological cache; retained only for continuity until post-run closeout.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/cyto_kb	local_project	28.864	deleted	not_archived	local-only	local-only	local project workspace	N/A	missing	local project bundle (cyto_kb)	none	N/A	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/redox-secretome-axis	local_project	24.380	deleted	not_archived	local-only	local-only	local project workspace	N/A	missing	local project bundle (redox-secretome-axis)	none	N/A	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/thermocausality_mtce	local_project	38.263	deleted	not_archived	local-only	local-only	local project workspace	N/A	missing	local project bundle (thermocausality_mtce)	none	N/A	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	deleted	not_archived	no		pass	
