size_bytes_before	path
8	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_LOCK_SUMMARY.md
8	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_FACTORIAL_DESIGN.md
8	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_COMPLIANCE_REPORT.md
8	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_COMPLIANCE_MASTER_VERIFICATION.md
8	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_BIOLOGICAL_CONTEXT.md
8	/Users/renatosocodato/thermocausality_mtce/DATA_PROVENANCE_QUICK_REFERENCE.md
8	/Users/renatosocodato/thermocausality_mtce/CONTEXT_INTERPRETATION_CORRECTION.md
8	/Users/renatosocodato/thermocausality_mtce/.DS_Store
4	/Users/renatosocodato/thermocausality_mtce/requirements.txt
4	/Users/renatosocodato/thermocausality_mtce/REVISION_STATUS_2026-01-12.md
4	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE.md
4	/Users/renatosocodato/thermocausality_mtce/.claude
