pass	target	source	method	old_size	new_size	source_sha256	target_sha256
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase16/analysis/1_bifurcation_triggers/1_segmented_regression_bifurcation.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase16__analysis__1_bifurcation_triggers__1_segmented_regression_bifurcation.R`**	quarantine_flat_decode	-1	19772	0373b7f2313660890dde47bbf157290f8fd4582b293e78d76844546b83373eb3	0373b7f2313660890dde47bbf157290f8fd4582b293e78d76844546b83373eb3
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/README.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase17__README.md`**	quarantine_flat_decode	-1	16172	f2ce342aebf49a8880a50c6a5810d5dba5105001412514dc4dba596475c67f40	f2ce342aebf49a8880a50c6a5810d5dba5105001412514dc4dba596475c67f40
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/output/mfs_gwas_overlap.csv`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__output__mfs_gwas_overlap.csv`**	quarantine_flat_decode	-1	4520	aa6d78a6506daa6168b159dee40593723bda51a9288563b6c81177f3a5c159d9	aa6d78a6506daa6168b159dee40593723bda51a9288563b6c81177f3a5c159d9
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase10/output/cluster3_vulnerability_signature.csv`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase10__output__cluster3_vulnerability_signature.csv`**	quarantine_flat_decode	-1	2390	5bae4a91b3f7603df24e1825421c70d2844729825d2e5a5c05e6d91833453500	5bae4a91b3f7603df24e1825421c70d2844729825d2e5a5c05e6d91833453500
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14a_gwas_enrichment.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14a_gwas_enrichment.R`**	quarantine_flat_decode	-1	18218	fe11ce7d84c18c195bead6233b685e53730ad9eafe4659c22f2f2fe4a1844ec9	fe11ce7d84c18c195bead6233b685e53730ad9eafe4659c22f2f2fe4a1844ec9
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/PHASE14_RESULTS_SUMMARY.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__PHASE14_RESULTS_SUMMARY.md`**	quarantine_flat_decode	-1	12846	43b3447321a268148faca0c9581e9064d3bdc873fbfad4993f327f42db62d498	43b3447321a268148faca0c9581e9064d3bdc873fbfad4993f327f42db62d498
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/PFN1_RESOLUTION_ADVANCED_OPTIONS.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__PFN1_RESOLUTION_ADVANCED_OPTIONS.md`**	quarantine_flat_decode	-1	15451	87d803716673460abf4116cf6d42ec251e515db0588209ed9d92fcf025e835d3	87d803716673460abf4116cf6d42ec251e515db0588209ed9d92fcf025e835d3
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14d_genetic_target_prioritization_simple.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14d_genetic_target_prioritization_simple.R`**	quarantine_flat_decode	-1	7929	52a3311956323eaacfe5560e1d6653891ca1706fdbd7002e0d950906f6c47f89	52a3311956323eaacfe5560e1d6653891ca1706fdbd7002e0d950906f6c47f89
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase13/output/druggable_targets.csv`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase13__output__druggable_targets.csv`**	quarantine_flat_decode	-1	3430	2d093038e9e883f2750e4d37055ec6f3ae9f4d59c61ef7bd90075c27588d6183	2d093038e9e883f2750e4d37055ec6f3ae9f4d59c61ef7bd90075c27588d6183
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14b_eqtl_colocalization_miga.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14b_eqtl_colocalization_miga.R`**	quarantine_flat_decode	-1	12406	3b68327a74f0887d2b8d3ec0e941476974b48e319138f8208b379fe346e31cde	3b68327a74f0887d2b8d3ec0e941476974b48e319138f8208b379fe346e31cde
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase16/ANALYSIS_2_METABOLOMICS_INTEGRATION.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase16__ANALYSIS_2_METABOLOMICS_INTEGRATION.md`**	quarantine_flat_decode	-1	31820	74ac32c69d849cdd1802edf238a89cfd3aec75040e94d3ea7cc76e545a87335f	74ac32c69d849cdd1802edf238a89cfd3aec75040e94d3ea7cc76e545a87335f
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase16/DOCUMENTATION_AUDIT_SECOND_PASS.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase16__DOCUMENTATION_AUDIT_SECOND_PASS.md`**	quarantine_flat_decode	-1	37034	3368bc4a414efa4ee69f28d88602c6321d50d09fdf593af227b56f9cd6d6bab6	3368bc4a414efa4ee69f28d88602c6321d50d09fdf593af227b56f9cd6d6bab6
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/docs/PHASE17_COMPUTATIONAL_DETAILS.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase17__docs__PHASE17_COMPUTATIONAL_DETAILS.md`**	quarantine_flat_decode	-1	49905	e2466994a3ba3f46f45f6c02bbb24d47351cc81d1dc84564a4a5e99a59ceafd3	e2466994a3ba3f46f45f6c02bbb24d47351cc81d1dc84564a4a5e99a59ceafd3
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase16/DOCUMENTATION_AUDIT_FIRST_PASS.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase16__DOCUMENTATION_AUDIT_FIRST_PASS.md`**	quarantine_flat_decode	-1	40824	8dc56073cf32d5f74af030f92c8d14490031f7128ed0f1687fee10c0c2b88787	8dc56073cf32d5f74af030f92c8d14490031f7128ed0f1687fee10c0c2b88787
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14c_mendelian_randomization_miga.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14c_mendelian_randomization_miga.R`**	quarantine_flat_decode	-1	12249	1d1fee45dd00812c2cd4275850c4f345bda9d8c8c0b6d040e7b3cfb6cf03829a	1d1fee45dd00812c2cd4275850c4f345bda9d8c8c0b6d040e7b3cfb6cf03829a
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase16/analysis/2_metabolomics_integration/1_metabolic_pathway_enrichment.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase16__analysis__2_metabolomics_integration__1_metabolic_pathway_enrichment.R`**	quarantine_flat_decode	-1	12827	b7555e23b8bf8867121b89e0c9a8e3a55cf3665a5ca80fca0efad81aab1d5e60	b7555e23b8bf8867121b89e0c9a8e3a55cf3665a5ca80fca0efad81aab1d5e60
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14d_genetic_target_prioritization.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14d_genetic_target_prioritization.R`**	quarantine_flat_decode	-1	18726	1c3ef71c751d8cc87c4743c957534b93f815975efbdd17d86932d1e622e4b996	1c3ef71c751d8cc87c4743c957534b93f815975efbdd17d86932d1e622e4b996
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/scripts/00_run_full_pipeline.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase17__scripts__00_run_full_pipeline.R`**	quarantine_flat_decode	-1	28004	333650b05f9897815cb7eceaa2f6a70ecbe192f1c8ba4540d762e807f936b0a5	333650b05f9897815cb7eceaa2f6a70ecbe192f1c8ba4540d762e807f936b0a5
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14e_phase14_validation.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14e_phase14_validation.R`**	quarantine_flat_decode	-1	16826	b4b84b995a2866ea49e52b5c22ebcd3fdc9e3976809c05548be0ecbce740c9ca	b4b84b995a2866ea49e52b5c22ebcd3fdc9e3976809c05548be0ecbce740c9ca
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14e_validation_summary.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14e_validation_summary.R`**	quarantine_flat_decode	-1	8045	d66ebeb1265fe24302b0143ef2b2d67ada3ecf896abc2afa028e06d3bf1cd849	d66ebeb1265fe24302b0143ef2b2d67ada3ecf896abc2afa028e06d3bf1cd849
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase16/METABOLOMICS_EXTERNAL_DATA_PLAN.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase16__METABOLOMICS_EXTERNAL_DATA_PLAN.md`**	quarantine_flat_decode	-1	13591	124cc532ea0f595accc8860775042784b2de566948e8db9a920b1f130b9f5012	124cc532ea0f595accc8860775042784b2de566948e8db9a920b1f130b9f5012
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/governance/SIMULATED_DATA_AUDIT_2026-01-31.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__governance__SIMULATED_DATA_AUDIT_2026-01-31.md`**	quarantine_flat_decode	-1	40684	5faf35ea96924994f2eea5fabef19301901aa4f4c1179ce159a40b0c676e1528	5faf35ea96924994f2eea5fabef19301901aa4f4c1179ce159a40b0c676e1528
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/data/DOWNLOAD_GTEX_EQTL.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__data__DOWNLOAD_GTEX_EQTL.md`**	quarantine_flat_decode	-1	7754	ce9ac2e0640eb47ffe2ddeae38a5e6548e637f3c4916653d2b8c7563c37efb81	ce9ac2e0640eb47ffe2ddeae38a5e6548e637f3c4916653d2b8c7563c37efb81
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/COMPUTATIONAL_MECHANISTIC_ANALYSES_PRIORITY.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__COMPUTATIONAL_MECHANISTIC_ANALYSES_PRIORITY.md`**	quarantine_flat_decode	-1	48444	28df7fb16d905814f31ae098a8a791aef7d9f336c0a3a5ab50e361d215a4b207	28df7fb16d905814f31ae098a8a791aef7d9f336c0a3a5ab50e361d215a4b207
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14a_gwas_strength_analysis.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14a_gwas_strength_analysis.R`**	quarantine_flat_decode	-1	9795	d644949fe677aa63390cbee524afd086df54aa9eafafcb65e750ad83ea785a86	d644949fe677aa63390cbee524afd086df54aa9eafafcb65e750ad83ea785a86
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/PHASE14_IMPLEMENTATION_SUMMARY.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__PHASE14_IMPLEMENTATION_SUMMARY.md`**	quarantine_flat_decode	-1	13465	99dffdfd0a923c7bbf49603a5d28a707efb7cb764c3fe2771f29f4ce95f0cbc5	99dffdfd0a923c7bbf49603a5d28a707efb7cb764c3fe2771f29f4ce95f0cbc5
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14c_mendelian_randomization.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14c_mendelian_randomization.R`**	quarantine_flat_decode	-1	22130	185009f92ddef545eedb033b65071847986696392e4d53bc50a8a6aa3ff1f996	185009f92ddef545eedb033b65071847986696392e4d53bc50a8a6aa3ff1f996
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/IMPLEMENTATION_BLUEPRINT.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase17__IMPLEMENTATION_BLUEPRINT.md`**	quarantine_flat_decode	-1	18435	e78c5d3d9f905b10a018af2679953f8e6bc020670f98dac8ecb6df9e786d8da3	e78c5d3d9f905b10a018af2679953f8e6bc020670f98dac8ecb6df9e786d8da3
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase11/output/trajectory_pseudotime.csv`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase11__output__trajectory_pseudotime.csv`**	quarantine_flat_decode	-1	718	2a643dfddd77d28b81584b89732683268cc614ee61a6798c6b0b126f93eb6058	2a643dfddd77d28b81584b89732683268cc614ee61a6798c6b0b126f93eb6058
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14b_eqtl_colocalization_ALL_GENES.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14b_eqtl_colocalization_ALL_GENES.R`**	quarantine_flat_decode	-1	17109	9183dc45de50f1c1617846335edc82758b4c4912952d3fe847a95e39036fb945	9183dc45de50f1c1617846335edc82758b4c4912952d3fe847a95e39036fb945
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase14/scripts/14b_eqtl_colocalization.R`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase14__scripts__14b_eqtl_colocalization.R`**	quarantine_flat_decode	-1	19339	01c3cc1d16b8efd33d114ffd2d26cabf21aff5ae14b0ee8dbec3ca246621c2bf	01c3cc1d16b8efd33d114ffd2d26cabf21aff5ae14b0ee8dbec3ca246621c2bf
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase16/DOCUMENTATION_AUDIT_THIRD_PASS_FINAL.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase16__DOCUMENTATION_AUDIT_THIRD_PASS_FINAL.md`**	quarantine_flat_decode	-1	46926	07313c6f9e5b6a2a70a25f52288a180aac1df5260a4b944ff329e2e06551b116	07313c6f9e5b6a2a70a25f52288a180aac1df5260a4b944ff329e2e06551b116
pass11_quarantine_decode	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase15/analysis/PHASE15_FINAL_LOCKED.md`**	/Users/renatosocodato/PFn1 5xFAD/recovery_quarantine_2026-02-24/files/spatial_integration__phase15__analysis__PHASE15_FINAL_LOCKED.md`**	quarantine_flat_decode	-1	17613	f12f7450eca7e4775df0dc9f0d65903df49f545853e0f76ec861498b9f67d720	f12f7450eca7e4775df0dc9f0d65903df49f545853e0f76ec861498b9f67d720
